2022-05-04 18:04:59.556632,emotion_face,sad,emotion_speech,disgust,alert
2022-05-04 18:05:54.842187,emotion_face,neutral,emotion_speech,angry,alert
2022-05-04 18:07:47.450431,emotion_face,sad,emotion_speech,neutral,alert
2022-05-04 18:08:43.990790,emotion_face,neutral,emotion_speech,neutral,alert
2022-05-04 18:09:41.064996,emotion_face,neutral,emotion_speech,neutral,alert
2022-05-04 18:11:33.944517,emotion_face,neutral,emotion_speech,angry,alert
2022-05-04 18:12:30.818541,emotion_face,fear,emotion_speech,angry,alert
2022-05-04 18:13:27.507014,emotion_face,sad,emotion_speech,neutral,alert
2022-05-04 18:16:15.908436,emotion_face,fear,emotion_speech,neutral,alert
2022-05-04 18:17:12.502270,emotion_face,sad,emotion_speech,neutral,alert
